705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706
749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750
705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706
749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750
705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706
749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750
705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706
749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750
705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706
749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750
705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706
749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750
705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706
749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750
705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706
749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750
705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706
749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750
705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706,707,708,705,706
749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750,751,752,749,750
